# Threads,# Cycles,# Instructions,IPC,Cache References,Cache misses,Cache Miss Rate,#Branches,Branch-Misses,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss,LL Cache Load Miss Rate,SpeedUp
32,33005937358,29544167248,0.895116746,477132562,24987303,5.236972906,2455115984,90228809,3.675134274,13010417648,236949526,1.821229206,468310218,25842344,5.518210581,1.290016408
32,32236062718,29643751281,0.919583497,498668172,25896576,5.19314796,2437150140,89068895,3.654633071,13017400123,241943352,1.858615005,489721980,26253865,5.360973383,0.970284372
32,30999057594,29668778382,0.957086463,479123593,25356959,5.292362841,2504379059,89123533,3.558707803,13081322571,237607728,1.816389182,475052999,26648432,5.609570312,0.975579805
32,2.11283E+12,2.20309E+12,1.042721812,32531940126,1715799105,5.274198521,77947601500,1578036431,2.024483628,9.93903E+11,17849458213,1.795895972,32439418465,1704109995,5.253207596,1.601250191
1,5447991223,2883609809,0.529297807,61812852,3667123,5.932622232,493270223,26765077,5.42604758,1273872974,29116941,2.285702075,58563093,3837885,6.553419233,1
1,9918695125,6962543610,0.701961651,112220738,7512275,6.694194971,1107066541,58461593,5.280765955,2916638440,63049974,2.161734315,108017010,7174093,6.641632647,1
1,44005815110,26831989231,0.609737353,395329737,47411522,11.99290556,3809474139,210248746,5.519101543,10900271230,258482987,2.371344543,381381174,46777541,12.26529892,1
1,2.21551E+12,1.7218E+12,0.777156678,19156284297,1188306466,6.203220038,2.63802E+11,15725941709,5.961257111,6.47713E+11,13125082466,2.026371759,19146705056,1181247910,6.169457912,1
4,5447991223,2883609809,0.529297807,61812852,3667123,5.932622232,493270223,26765077,5.42604758,1273872974,29116941,2.285702075,58563093,3837885,6.553419233,1.69110274
4,9918695125,6962543610,0.701961651,112220738,7512275,6.694194971,1107066541,58461593,5.280765955,2916638440,63049974,2.161734315,108017010,7174093,6.641632647,1.375238816
4,44005815110,26831989231,0.609737353,395329737,47411522,11.99290556,3809474139,210248746,5.519101543,10900271230,258482987,2.371344543,381381174,46777541,12.26529892,1.529184313
4,2.21551E+12,1.7218E+12,0.777156678,19156284297,1188306466,6.203220038,2.63802E+11,15725941709,5.961257111,6.47713E+11,13125082466,2.026371759,19146705056,1181247910,6.169457912,2.729927178
8,5447991223,2883609809,0.529297807,61812852,3667123,5.932622232,493270223,26765077,5.42604758,1273872974,29116941,2.285702075,58563093,3837885,6.553419233,2.03524943
8,9918695125,6962543610,0.701961651,112220738,7512275,6.694194971,1107066541,58461593,5.280765955,2916638440,63049974,2.161734315,108017010,7174093,6.641632647,1.390101991
8,44005815110,26831989231,0.609737353,395329737,47411522,11.99290556,3809474139,210248746,5.519101543,10900271230,258482987,2.371344543,381381174,46777541,12.26529892,1.569851876
8,2.21551E+12,1.7218E+12,0.777156678,19156284297,1188306466,6.203220038,2.63802E+11,15725941709,5.961257111,6.47713E+11,13125082466,2.026371759,19146705056,1181247910,6.169457912,4.500497073
16,5447991223,2883609809,0.529297807,61812852,3667123,5.932622232,493270223,26765077,5.42604758,1273872974,29116941,2.285702075,58563093,3837885,6.553419233,1.70259471
16,9918695125,6962543610,0.701961651,112220738,7512275,6.694194971,1107066541,58461593,5.280765955,2916638440,63049974,2.161734315,108017010,7174093,6.641632647,1.152555524
16,44005815110,26831989231,0.609737353,395329737,47411522,11.99290556,3809474139,210248746,5.519101543,10900271230,258482987,2.371344543,381381174,46777541,12.26529892,1.422121043
16,2.21551E+12,1.7218E+12,0.777156678,19156284297,1188306466,6.203220038,2.63802E+11,15725941709,5.961257111,6.47713E+11,13125082466,2.026371759,19146705056,1181247910,6.169457912,6.176932637
32,5447991223,2883609809,0.529297807,61812852,3667123,5.932622232,493270223,26765077,5.42604758,1273872974,29116941,2.285702075,58563093,3837885,6.553419233,1.580481259
32,9918695125,6962543610,0.701961651,112220738,7512275,6.694194971,1107066541,58461593,5.280765955,2916638440,63049974,2.161734315,108017010,7174093,6.641632647,1.163048814
32,44005815110,26831989231,0.609737353,395329737,47411522,11.99290556,3809474139,210248746,5.519101543,10900271230,258482987,2.371344543,381381174,46777541,12.26529892,1.385161598
32,2.21551E+12,1.7218E+12,0.777156678,19156284297,1188306466,6.203220038,2.63802E+11,15725941709,5.961257111,6.47713E+11,13125082466,2.026371759,19146705056,1181247910,6.169457912,5.971958371
1,4283188660,2812441543,0.656623317,45410247,3971025,8.744777363,481393536,21466923,4.4593293,1176462370,17379847,1.477297315,42115028,3955355,9.391790028,1
1,7351258122,5230861223,0.711559999,57820212,4478418,7.745419543,1062937684,33814453,3.181226285,2322636888,32687549,1.407346502,58375735,4419119,7.570129952,1
1,13048444524,11040775897,0.846137321,64686471,7786664,12.03754646,1635936792,77771452,4.753939906,4281054332,38750618,0.905165293,65195405,7910363,12.13331369,1
1,1.93792E+12,1.68034E+12,0.867084441,3807968631,849796871,22.31627814,2.14898E+11,13949187761,6.491082157,6.27943E+11,3375673633,0.537576738,3812744613,856621860,22.46732858,1
4,4283188660,2812441543,0.656623317,45410247,3971025,8.744777363,481393536,21466923,4.4593293,1176462370,17379847,1.477297315,42115028,3955355,9.391790028,0.998708945
4,7351258122,5230861223,0.711559999,57820212,4478418,7.745419543,1062937684,33814453,3.181226285,2322636888,32687549,1.407346502,58375735,4419119,7.570129952,0.732334027
4,13048444524,11040775897,0.846137321,64686471,7786664,12.03754646,1635936792,77771452,4.753939906,4281054332,38750618,0.905165293,65195405,7910363,12.13331369,1.003350982
4,1.93792E+12,1.68034E+12,0.867084441,3807968631,849796871,22.31627814,2.14898E+11,13949187761,6.491082157,6.27943E+11,3375673633,0.537576738,3812744613,856621860,22.46732858,1.864530931
8,4283188660,2812441543,0.656623317,45410247,3971025,8.744777363,481393536,21466923,4.4593293,1176462370,17379847,1.477297315,42115028,3955355,9.391790028,0.965958863
8,7351258122,5230861223,0.711559999,57820212,4478418,7.745419543,1062937684,33814453,3.181226285,2322636888,32687549,1.407346502,58375735,4419119,7.570129952,1.096144941
8,13048444524,11040775897,0.846137321,64686471,7786664,12.03754646,1635936792,77771452,4.753939906,4281054332,38750618,0.905165293,65195405,7910363,12.13331369,1.191503388
8,1.93792E+12,1.68034E+12,0.867084441,3807968631,849796871,22.31627814,2.14898E+11,13949187761,6.491082157,6.27943E+11,3375673633,0.537576738,3812744613,856621860,22.46732858,1.879019374
16,4283188660,2812441543,0.656623317,45410247,3971025,8.744777363,481393536,21466923,4.4593293,1176462370,17379847,1.477297315,42115028,3955355,9.391790028,0.97263145
16,7351258122,5230861223,0.711559999,57820212,4478418,7.745419543,1062937684,33814453,3.181226285,2322636888,32687549,1.407346502,58375735,4419119,7.570129952,0.97462901
16,13048444524,11040775897,0.846137321,64686471,7786664,12.03754646,1635936792,77771452,4.753939906,4281054332,38750618,0.905165293,65195405,7910363,12.13331369,0.982177447
16,1.93792E+12,1.68034E+12,0.867084441,3807968631,849796871,22.31627814,2.14898E+11,13949187761,6.491082157,6.27943E+11,3375673633,0.537576738,3812744613,856621860,22.46732858,2.266152573
32,4283188660,2812441543,0.656623317,45410247,3971025,8.744777363,481393536,21466923,4.4593293,1176462370,17379847,1.477297315,42115028,3955355,9.391790028,0.983407611
32,7351258122,5230861223,0.711559999,57820212,4478418,7.745419543,1062937684,33814453,3.181226285,2322636888,32687549,1.407346502,58375735,4419119,7.570129952,0.770343956
