# Threads,# Cycles,# Instructions,IPC,Cache References,Cache misses,Cache Miss Rate,#Branches,Branch-Misses,Branch Miss Fraction,L1 Cache Load,L1 Cache Load Miss,L1 Cache Load Miss Rate,LL Cache Load,LL Cache Load Miss,LL Cache Load Miss Rate,SpeedUp
1.00,1970229487.00,1650919037.00,0.84,86367464.00,6909335.00,8.00,87815854.00,269631.00,0.31,667822596.00,50742710.00,7.60,86204824.00,7475610.00,8.67,1.00
1.00,9801950561.00,6099874607.00,0.62,334731707.00,29012669.00,8.67,356460761.00,526871.00,0.15,2467913758.00,201650268.00,8.17,334737523.00,28486723.00,8.51,1.00
1.00,34752154454.00,23994188747.00,0.69,1327543136.00,127618539.00,9.61,1355047291.00,1024605.00,0.08,9532456372.00,778271468.00,8.16,1335320510.00,131227265.00,9.83,1.00
1.00,110609000000.00,97335434157.00,0.88,5378758457.00,498265558.00,9.26,5493518497.00,2115549.00,0.04,38708276180.00,3110269518.00,8.04,5388738277.00,503682605.00,9.35,1.00
4.00,1970229487.00,1650919037.00,0.84,86367464.00,6909335.00,8.00,87815854.00,269631.00,0.31,667822596.00,50742710.00,7.60,86204824.00,7475610.00,8.67,0.61
4.00,9801950561.00,6099874607.00,0.62,334731707.00,29012669.00,8.67,356460761.00,526871.00,0.15,2467913758.00,201650268.00,8.17,334737523.00,28486723.00,8.51,0.83
4.00,34752154454.00,23994188747.00,0.69,1327543136.00,127618539.00,9.61,1355047291.00,1024605.00,0.08,9532456372.00,778271468.00,8.16,1335320510.00,131227265.00,9.83,0.84
4.00,110609000000.00,97335434157.00,0.88,5378758457.00,498265558.00,9.26,5493518497.00,2115549.00,0.04,38708276180.00,3110269518.00,8.04,5388738277.00,503682605.00,9.35,0.88
8.00,1970229487.00,1650919037.00,0.84,86367464.00,6909335.00,8.00,87815854.00,269631.00,0.31,667822596.00,50742710.00,7.60,86204824.00,7475610.00,8.67,0.57
8.00,9801950561.00,6099874607.00,0.62,334731707.00,29012669.00,8.67,356460761.00,526871.00,0.15,2467913758.00,201650268.00,8.17,334737523.00,28486723.00,8.51,0.97
8.00,34752154454.00,23994188747.00,0.69,1327543136.00,127618539.00,9.61,1355047291.00,1024605.00,0.08,9532456372.00,778271468.00,8.16,1335320510.00,131227265.00,9.83,1.03
8.00,110609000000.00,97335434157.00,0.88,5378758457.00,498265558.00,9.26,5493518497.00,2115549.00,0.04,38708276180.00,3110269518.00,8.04,5388738277.00,503682605.00,9.35,0.91
16.00,1970229487.00,1650919037.00,0.84,86367464.00,6909335.00,8.00,87815854.00,269631.00,0.31,667822596.00,50742710.00,7.60,86204824.00,7475610.00,8.67,0.49
16.00,9801950561.00,6099874607.00,0.62,334731707.00,29012669.00,8.67,356460761.00,526871.00,0.15,2467913758.00,201650268.00,8.17,334737523.00,28486723.00,8.51,0.97
16.00,34752154454.00,23994188747.00,0.69,1327543136.00,127618539.00,9.61,1355047291.00,1024605.00,0.08,9532456372.00,778271468.00,8.16,1335320510.00,131227265.00,9.83,1.02
16.00,110609000000.00,97335434157.00,0.88,5378758457.00,498265558.00,9.26,5493518497.00,2115549.00,0.04,38708276180.00,3110269518.00,8.04,5388738277.00,503682605.00,9.35,1.00
32.00,1970229487.00,1650919037.00,0.84,86367464.00,6909335.00,8.00,87815854.00,269631.00,0.31,667822596.00,50742710.00,7.60,86204824.00,7475610.00,8.67,0.52
32.00,9801950561.00,6099874607.00,0.62,334731707.00,29012669.00,8.67,356460761.00,526871.00,0.15,2467913758.00,201650268.00,8.17,334737523.00,28486723.00,8.51,1.02
32.00,34752154454.00,23994188747.00,0.69,1327543136.00,127618539.00,9.61,1355047291.00,1024605.00,0.08,9532456372.00,778271468.00,8.16,1335320510.00,131227265.00,9.83,1.61
32.00,110609000000.00,97335434157.00,0.88,5378758457.00,498265558.00,9.26,5493518497.00,2115549.00,0.04,38708276180.00,3110269518.00,8.04,5388738277.00,503682605.00,9.35,1.34
1.00,867808776.00,419849457.00,0.48,973725.00,13959.00,1.43,54410142.00,2972560.00,5.46,151744070.00,531217.00,0.35,968894.00,6837.00,0.71,1.00
1.00,2315931858.00,3308494857.00,1.43,6902936.00,187834.00,2.72,421447022.00,23681859.00,5.62,1149810936.00,3602266.00,0.31,6855032.00,179306.00,2.62,1.00
1.00,20013994380.00,25882923881.00,1.29,56210572.00,964206.00,1.72,3298504860.00,191841630.00,5.82,9189799176.00,29183935.00,0.32,54182178.00,967089.00,1.78,1.00
1.00,148799176027.00,204277102993.00,1.37,426839595.00,8166352.00,1.91,26177126026.00,1522917212.00,5.82,73061938245.00,226216790.00,0.31,425635691.00,8186300.00,1.92,1.00
4.00,867808776.00,419849457.00,0.48,973725.00,13959.00,1.43,54410142.00,2972560.00,5.46,151744070.00,531217.00,0.35,968894.00,6837.00,0.71,0.78
4.00,2315931858.00,3308494857.00,1.43,6902936.00,187834.00,2.72,421447022.00,23681859.00,5.62,1149810936.00,3602266.00,0.31,6855032.00,179306.00,2.62,0.80
4.00,20013994380.00,25882923881.00,1.29,56210572.00,964206.00,1.72,3298504860.00,191841630.00,5.82,9189799176.00,29183935.00,0.32,54182178.00,967089.00,1.78,0.84
4.00,148799176027.00,204277102993.00,1.37,426839595.00,8166352.00,1.91,26177126026.00,1522917212.00,5.82,73061938245.00,226216790.00,0.31,425635691.00,8186300.00,1.92,1.37
8.00,867808776.00,419849457.00,0.48,973725.00,13959.00,1.43,54410142.00,2972560.00,5.46,151744070.00,531217.00,0.35,968894.00,6837.00,0.71,1.62
8.00,2315931858.00,3308494857.00,1.43,6902936.00,187834.00,2.72,421447022.00,23681859.00,5.62,1149810936.00,3602266.00,0.31,6855032.00,179306.00,2.62,0.83
8.00,20013994380.00,25882923881.00,1.29,56210572.00,964206.00,1.72,3298504860.00,191841630.00,5.82,9189799176.00,29183935.00,0.32,54182178.00,967089.00,1.78,0.89
8.00,148799176027.00,204277102993.00,1.37,426839595.00,8166352.00,1.91,26177126026.00,1522917212.00,5.82,73061938245.00,226216790.00,0.31,425635691.00,8186300.00,1.92,1.46
16.00,867808776.00,419849457.00,0.48,973725.00,13959.00,1.43,54410142.00,2972560.00,5.46,151744070.00,531217.00,0.35,968894.00,6837.00,0.71,1.39
16.00,2315931858.00,3308494857.00,1.43,6902936.00,187834.00,2.72,421447022.00,23681859.00,5.62,1149810936.00,3602266.00,0.31,6855032.00,179306.00,2.62,0.56
16.00,20013994380.00,25882923881.00,1.29,56210572.00,964206.00,1.72,3298504860.00,191841630.00,5.82,9189799176.00,29183935.00,0.32,54182178.00,967089.00,1.78,1.17
16.00,148799176027.00,204277102993.00,1.37,426839595.00,8166352.00,1.91,26177126026.00,1522917212.00,5.82,73061938245.00,226216790.00,0.31,425635691.00,8186300.00,1.92,1.48
32.00,867808776.00,419849457.00,0.48,973725.00,13959.00,1.43,54410142.00,2972560.00,5.46,151744070.00,531217.00,0.35,968894.00,6837.00,0.71,1.14
